player_name,opponent_defense_rank,team_offense_rank,weather_condition,days_since_last_game,avg_points,is_home_game,injury_status,next_game_points
Christian McCaffrey,25,27,0,0,19.4,0,0,17
Joe Mixon,18,30,0,0,16.2,0,0,14.8
James Conner,28,2,0,0,15.6,0,0,15.2
